p,m
1,1
1,2
1,3
1,5
1,6
2,1
2,2
2,3
2,5
2,6
3,1
3,2
3,3
3,5
3,6
4,1
4,2
4,3
4,5
4,6
5,1
5,2
5,3
5,5
5,6
6,1
6,2
6,3
6,5
6,6
7,1
7,2
7,3
7,5
7,6
8,1
8,2
8,3
8,5
8,6
